,company_id,2014-01-01_payments,2014-02-01_payments,2014-03-01_payments,2014-04-01_payments,2014-05-01_payments,2014-06-01_payments,2014-07-01_payments,2014-08-01_payments,2014-09-01_payments,2014-10-01_payments,2014-11-01_payments,2014-12-01_payments,2014-01-01_mandates,2014-02-01_mandates,2014-03-01_mandates,2014-04-01_mandates,2014-05-01_mandates,2014-06-01_mandates,2014-07-01_mandates,2014-08-01_mandates,2014-09-01_mandates,2014-10-01_mandates,2014-11-01_mandates,2014-12-01_mandates,vertical,incorporation_date
764,850,5.0,10.0,6.0,8.0,7.0,5.0,6.0,5.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,freelance developer,2013-01-09
765,851,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gym/fitness,2005-06-04
766,852,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,4.0,gym/fitness,2012-03-20
767,853,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy,2007-03-15
768,855,6.0,14.0,9.0,8.0,9.0,8.0,15.0,5.0,11.0,13.0,22.0,17.0,3.0,5.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,gym/fitness,2004-07-18
769,856,0.0,0.0,0.0,2.0,4.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,freelance developer,2008-10-21
770,857,168.0,177.0,171.0,175.0,169.0,175.0,187.0,171.0,175.0,166.0,171.0,166.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,freelance developer,2005-04-30
771,858,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,gym/fitness,2013-03-02
772,859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,gym/fitness,2006-07-05
773,860,5.0,8.0,8.0,13.0,15.0,14.0,16.0,15.0,17.0,17.0,15.0,17.0,2.0,2.0,0.0,3.0,3.0,1.0,9.0,2.0,2.0,3.0,1.0,2.0,gym/fitness,2010-10-20
774,861,11.0,19.0,11.0,17.0,20.0,15.0,20.0,17.0,22.0,31.0,30.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gym/fitness,2010-04-30
775,862,7.0,7.0,7.0,6.0,11.0,12.0,16.0,11.0,13.0,19.0,7.0,19.0,0.0,15.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy,2013-02-23
776,864,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,1.0,gym/fitness,2010-11-29
777,865,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,gym/fitness,2003-10-22
778,866,1.0,2.0,2.0,4.0,7.0,0.0,0.0,0.0,6.0,11.0,19.0,3.0,3.0,4.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,0.0,gym/fitness,2008-02-26
779,868,0.0,4.0,4.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,freelance developer,2007-11-02
780,869,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy,2012-06-29
781,871,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,8.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,accountancy,2013-01-08
782,872,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gym/fitness,2013-04-01
